SOC_init;eta_sp;soc_loss;t_sp;soc_loss_spec;soc_loss_spec_hourly;soc_retained_spec_hourly;;;
0.829285714;0.99999999;8.67E-09;1296;6.69E-12;2.41E-08;8.29E-01;;;
0.976428571;0.999998185;1.77E-06;2160;8.21E-10;2.96E-06;9.76E-01;;;
0.816428571;0.999997832;1.77E-06;3024;5.85E-10;2.11E-06;8.16E-01;;;
0.553571429;0.999996608;1.88E-06;432;4.35E-09;1.57E-05;5.54E-01;;;
0.269285714;0.999982087;4.82E-06;4752;1.02E-09;3.67E-06;2.69E-01;;;
0.396428571;0.999981965;7.15E-06;6480;1.10E-09;3.96E-06;3.96E-01;;;
0.362142857;0.999980244;7.15E-06;5616;1.27E-09;4.57E-06;3.62E-01;;;
0.965;0.999977772;2.15E-05;10800;1.99E-09;7.16E-06;9.65E-01;;;
0.563571429;0.999975174;1.40E-05;9072;1.54E-09;5.54E-06;5.64E-01;;;
0.623571429;0.999974473;1.59E-05;9936;1.60E-09;5.76E-06;6.24E-01;;;
0.117857143;0.999972403;3.25E-06;3888;8.37E-10;3.01E-06;1.18E-01;;;
0.383571429;0.99996955;1.17E-05;8208;1.42E-09;5.11E-06;3.84E-01;;;
0.627857143;0.999944975;3.45E-05;14256;2.42E-09;8.71E-06;6.28E-01;;;
0.947857143;0.999943092;5.39E-05;18576;2.90E-09;1.04E-05;9.48E-01;;;
0.557857143;0.999941531;3.26E-05;13392;2.44E-09;8.78E-06;5.58E-01;;;
0.706428571;0.999930375;4.92E-05;17712;2.78E-09;1.00E-05;7.06E-01;;;
0.836428571;0.999922416;6.49E-05;21168;3.07E-09;1.11E-05;8.36E-01;;;
0.662142857;0.999904331;6.33E-05;20304;3.12E-09;1.12E-05;6.62E-01;;;
0.249285714;0.999903738;2.40E-05;11664;2.06E-09;7.42E-06;2.49E-01;;;
0.936428571;0.999899657;9.40E-05;26352;3.57E-09;1.29E-05;9.36E-01;;;
0.875;0.999899105;8.83E-05;24624;3.59E-09;1.29E-05;8.75E-01;;;
0.407857143;0.999895382;4.27E-05;15984;2.67E-09;9.61E-06;4.08E-01;;;
0.647857143;0.999881927;7.65E-05;22896;3.34E-09;1.20E-05;6.48E-01;;;
0.769285714;0.999857992;0.000109245;28944;3.77E-09;1.36E-05;7.69E-01;;;
0.996428571;0.999854539;0.000144942;34128;4.25E-09;1.53E-05;9.96E-01;;;
0.315;0.9998536;4.61E-05;16848;2.74E-09;9.86E-06;3.15E-01;;;
0.065;0.99984628;9.99E-06;7344;1.36E-09;4.90E-06;6.50E-02;;;
0.587857143;0.999831841;9.89E-05;27216;3.63E-09;1.31E-05;5.88E-01;;;
0.886428571;0.999829703;0.000150956;35856;4.21E-09;1.52E-05;8.86E-01;;;
0.410714286;0.99982383;7.24E-05;22032;3.28E-09;1.18E-05;4.11E-01;;;
0.126428571;0.999787349;2.69E-05;12528;2.15E-09;7.74E-06;1.26E-01;;;
0.759285714;0.999786481;0.000162122;37584;4.31E-09;1.55E-05;7.59E-01;;;
0.856428571;0.99978345;0.000185459;41040;4.52E-09;1.63E-05;8.56E-01;;;
0.806428571;0.999781496;0.000176208;39312;4.48E-09;1.61E-05;8.06E-01;;;
0.919285714;0.999760406;0.000220255;46224;4.76E-09;1.71E-05;9.19E-01;;;
0.817857143;0.999758429;0.000197571;42768;4.62E-09;1.66E-05;8.18E-01;;;
0.416428571;0.999746445;0.000105588;28080;3.76E-09;1.35E-05;4.16E-01;;;
0.699285714;0.999740598;0.000181396;40176;4.52E-09;1.63E-05;6.99E-01;;;
0.460714286;0.999738808;0.000120335;30672;3.92E-09;1.41E-05;4.61E-01;;;
0.900714286;0.999736998;0.00023689;48816;4.85E-09;1.75E-05;9.01E-01;;;
0.885;0.999685725;0.000278134;54864;5.07E-09;1.83E-05;8.85E-01;;;
0.596428571;0.999680628;0.000190483;41904;4.55E-09;1.64E-05;5.96E-01;;;
0.446428571;0.999671943;0.000146454;34992;4.19E-09;1.51E-05;4.46E-01;;;
0.849285714;0.999664893;0.000284602;55728;5.11E-09;1.84E-05;8.49E-01;;;
0.927857143;0.999616984;0.000355384;66096;5.38E-09;1.94E-05;9.28E-01;;;
0.839285714;0.999612952;0.000324844;61776;5.26E-09;1.89E-05;8.39E-01;;;
0.345;0.999607123;0.000135543;33264;4.07E-09;1.47E-05;3.45E-01;;;
0.737857143;0.999599515;0.000295501;57456;5.14E-09;1.85E-05;7.38E-01;;;
0.793571429;0.999575476;0.00033689;63504;5.31E-09;1.91E-05;7.94E-01;;;
0.562142857;0.999558624;0.000248116;50544;4.91E-09;1.77E-05;5.62E-01;;;
0.903571429;0.999554117;0.000402887;73008;5.52E-09;1.99E-05;9.04E-01;;;
0.805;0.999552183;0.000360492;66960;5.38E-09;1.94E-05;8.05E-01;;;
0.080714286;0.999551458;3.62E-05;15120;2.39E-09;8.60E-06;8.07E-02;;;
0.592142857;0.999551398;0.000265637;53136;5.00E-09;1.80E-05;5.92E-01;;;
0.957857143;0.999530047;0.000450148;79920;5.63E-09;2.03E-05;9.58E-01;;;
0.665;0.999529872;0.000312635;60048;5.21E-09;1.88E-05;6.65E-01;;;
0.182142857;0.999512769;8.87E-05;25488;3.48E-09;1.25E-05;1.82E-01;;;
0.113571429;0.999504894;5.62E-05;19440;2.89E-09;1.04E-05;1.14E-01;;;
0.795;0.999478259;0.000414784;74736;5.55E-09;2.00E-05;7.95E-01;;;
0.766428571;0.999467852;0.000407854;73872;5.52E-09;1.99E-05;7.66E-01;;;
0.930714286;0.999463804;0.000499045;86832;5.75E-09;2.07E-05;9.31E-01;;;
0.415;0.999459675;0.000224235;47088;4.76E-09;1.71E-05;4.15E-01;;;
