#;Phi;SOC_init;T_ambient;t_sp;eta_sp;T_sp;soc_loss_spec_hourly;soc_retained_spec_hourly;soc_loss;soc_loss_spec
690;5.928571429;0.452928571;294.7928571;1296;1;416.1696676;0;0.452928571;0;0
76;0.357142857;0.100642857;291.9071429;432;1;416.1691089;0;0.100642857;0;0
289;29.92857143;0.542928571;295.4785714;4752;0.999997347;416.1668347;1.09E-06;0.54292748;1.44039E-06;3.03112E-10
69;7.357142857;0.424642857;279.7642857;2160;0.999996412;416.1689783;2.54E-06;0.424640318;1.52362E-06;7.05379E-10
587;58.5;0.303785714;282.9071429;3024;0.999993348;416.1673158;2.41E-06;0.303783308;2.02078E-06;6.68248E-10
417;82.5;0.924785714;284.8214286;6480;0.999991638;416.1663938;4.30E-06;0.924781418;7.73306E-06;1.19337E-09
625;75.5;0.225357143;287.4785714;3888;0.999987141;416.1643759;2.68E-06;0.22535446;2.89787E-06;7.45336E-10
582;56.78571429;0.573785714;288.9928571;8208;0.999978771;416.1611694;5.34E-06;0.573780372;1.21809E-05;1.48403E-09
322;33.5;0.8425;290.5642857;11664;0.999972405;416.1587526;7.18E-06;0.842492824;2.32488E-05;1.99321E-09
656;79.64285714;0.377071429;284.9357143;7344;0.999971105;416.1587136;5.34E-06;0.377066088;1.08955E-05;1.48359E-09
92;68.5;0.447785714;278.9928571;9072;0.999961345;416.1553333;6.87E-06;0.447778845;1.73092E-05;1.90798E-09
111;5.5;0.976214286;294.1071429;15984;0.999958222;416.1535973;9.19E-06;0.9762051;4.07843E-05;2.55157E-09
540;8.642857143;0.8515;278.4785714;14256;0.999954348;416.1525976;9.82E-06;0.851490184;3.88727E-05;2.72676E-09
317;89.64285714;0.8695;287.05;17712;0.999938991;416.1467864;1.08E-05;0.869489218;5.30473E-05;2.99499E-09
573;55.92857143;0.101928571;289.2214286;5616;0.999936672;416.1460137;4.14E-06;0.101924433;6.45493E-06;1.14938E-09
515;69.78571429;0.8245;280.0785714;19440;0.999921626;416.1398313;1.20E-05;0.824488033;6.46194E-05;3.32404E-09
444;7.071428571;0.753785714;280.9642857;18576;0.999920896;416.1396248;1.16E-05;0.753774158;5.96275E-05;3.20992E-09
91;95.64285714;0.928642857;291.7071429;22032;0.999918964;416.1398773;1.23E-05;0.928630561;7.52535E-05;3.41565E-09
161;85.07142857;0.312785714;297.85;12528;0.999910759;416.1377135;8.02E-06;0.312777693;2.79133E-05;2.22807E-09
675;44.21428571;0.200928571;278.9357143;9936;0.999901386;416.1317821;7.18E-06;0.200921392;1.98144E-05;1.9942E-09
133;0.5;0.906785714;292.3642857;26352;0.999887927;416.1290918;1.39E-05;0.906771831;0.000101626;3.85649E-09
6;78.07142857;0.296071429;282.1928571;13392;0.999886605;416.1266258;9.03E-06;0.296062404;3.3573E-05;2.50695E-09
345;54.5;0.607214286;290.7357143;21168;0.99988173;416.1265828;1.22E-05;0.607202073;7.18152E-05;3.39263E-09
23;42.5;0.958214286;282.65;28944;0.999873267;416.1216384;1.51E-05;0.958199182;0.000121437;4.1956E-09
503;14.5;0.348785714;290.4214286;16848;0.999859206;416.1185052;1.05E-05;0.348775221;4.91069E-05;2.9147E-09
490;87.64285714;0.558357143;283.7928571;22896;0.999850683;416.1133997;1.31E-05;0.558344034;8.33722E-05;3.64134E-09
502;67.07142857;0.629071429;282.85;25488;0.999842157;416.1098615;1.40E-05;0.629057404;9.92945E-05;3.89574E-09
192;8.071428571;0.8875;288.5642857;33264;0.999832459;416.1083046;1.61E-05;0.887483908;0.000148693;4.47008E-09
544;90.21428571;0.949214286;290.25;34992;0.99983149;416.1085827;1.65E-05;0.94919783;0.000159952;4.5711E-09
267;59.5;0.679214286;280.9071429;28080;0.999829131;416.1041588;1.49E-05;0.679199407;0.000116057;4.13307E-09
673;44.35714286;0.126357143;296.1357143;10800;0.999826034;416.1089187;7.33E-06;0.126349816;2.19818E-05;2.03536E-09
676;37.64285714;0.785928571;280.9357143;31536;0.99982332;416.1019247;1.59E-05;0.78591272;0.000138858;4.40315E-09
630;15.21428571;0.496642857;291.3928571;24624;0.999813402;416.1026297;1.35E-05;0.496629308;9.26726E-05;3.76351E-09
379;59.78571429;0.838642857;293.0785714;36720;0.999795282;416.0970598;1.68E-05;0.838626025;0.000171685;4.67553E-09
608;67.78571429;0.197071429;280.5928571;15120;0.999790711;416.0891487;9.82E-06;0.197061609;4.12449E-05;2.72784E-09
453;24.78571429;0.310214286;289.7071429;20304;0.999781587;416.0905146;1.20E-05;0.310202273;6.77548E-05;3.33702E-09
426;62.5;0.897785714;280.3928571;41904;0.999764706;416.078951;1.81E-05;0.897767566;0.000211244;5.04113E-09
