#;Phi;R_n;SOC_init;T_U;pskw.I;t_sp;u_2;SOC;eta_Sp
1;0.214285714;175;0.725;307.5357143;7.36E-07;385776;13.39;0.543690931;1.087061169
2;10.92857143;689.2857143;0.697857143;302.7357143;3.54E-07;9072;5.11;0.514452251;1.028601057
3;64.92857143;417.8571429;0.620714286;304.2785714;9.52E-08;42768;13.59;0.489981396;0.97967378
4;37.78571429;20.71428571;0.442142857;312.7642857;7.52E-07;100656;4.13;0.548254859;1.096186334
5;79.64285714;579.2857143;0.473571429;304.7928571;1.06E-06;504144;3.81;0.573857162;1.147375837
6;21.92857143;819.2857143;0.686428571;258.6785714;2.58E-07;283824;0.69;0.508895297;1.017490426
7;11.92857143;117.8571429;0.793571429;263.8214286;6.31E-07;410832;7.49;0.536716682;1.073116785
8;64.07142857;543.5714286;0.713571429;273.85;4.43E-07;70416;9.35;0.520275423;1.040243964
9;66.21428571;77.85714286;0.816428571;287.3071429;5.77E-07;139536;11.19;0.530971663;1.061630137
10;6.357142857;939.2857143;0.363571429;286.6214286;5.54E-07;423792;5.63;0.531035114;1.061757
11;9.357142857;635;0.975;295.1928571;6.28E-07;44496;13.65;0.534561781;1.068808254
12;68.35714286;595;0.787857143;298.1071429;3.80E-07;162864;13.69;0.513789748;1.027276441
13;60.92857143;352.1428571;0.763571429;307.2785714;7.11E-07;554256;4.15;0.544882032;1.089442669
14;18.21428571;186.4285714;0.000714286;305.9928571;6.10E-07;251856;10.87;0.533842373;1.067369862
15;1.642857143;727.8571429;0.322142857;296.7357143;6.17E-07;129168;7.79;0.535435801;1.070555778
16;24.21428571;763.5714286;0.196428571;288.7642857;1.02E-06;547344;10.21;0.568692661;1.137049882
17;78.64285714;512.1428571;0.945;287.8214286;7.99E-07;177552;3.11;0.552733175;1.105140324
18;35.35714286;799.2857143;0.283571429;267.3357143;4.64E-07;519696;12.33;0.521153511;1.041999622
19;57.78571429;92.14285714;0.346428571;302.65;9.86E-08;323568;6.67;0.49243921;0.984587958
20;16.92857143;627.8571429;0.457857143;307.6214286;1.21E-07;500688;0.09;0.497920664;0.995547633
21;32.07142857;390.7142857;0.889285714;273.3357143;5.44E-07;506736;9.09;0.528841351;1.057370768
22;32.64285714;155;0.512142857;259.0214286;4.71E-07;73872;6.53;0.523638954;1.046969042
23;27.07142857;999.2857143;0.997857143;274.1071429;4.11E-07;2160;8.41;0.517960818;1.035616119
24;99.5;76.42857143;0.723571429;302.5642857;2.12E-07;389232;5.61;0.502386034;1.004475739
25;38.5;985;0.566428571;284.3071429;4.45E-08;358128;2.99;0.489634807;0.978980806
26;19.92857143;476.4285714;0.640714286;301.7071429;6.91E-07;305424;3.13;0.54365705;1.086993427
27;48.92857143;116.4285714;0.145;261.5071429;4.95E-07;309744;13.55;0.523474027;1.046639286
28;69.35714286;345;0.060714286;285.85;5.61E-07;524016;5.51;0.531672527;1.06303145
29;44.35714286;12.14285714;0.717857143;298.8785714;7.31E-07;512784;6.23;0.545547624;1.09077346
30;67.21428571;780.7142857;0.947857143;290.5642857;2.84E-07;544752;9.33;0.506976539;1.013654042
31;93.21428571;717.8571429;0.843571429;253.2785714;9.80E-07;526608;12.91;0.56428163;1.128230421
32;37.21428571;852.1428571;0.120714286;261.0785714;4.57E-07;537840;9.15;0.521510798;1.042713986
33;73.21428571;675;0.817857143;298.3642857;3.24E-07;394416;10.43;0.509994175;1.019687533
34;15.92857143;359.2857143;0.877857143;273.5928571;4.63E-08;388368;3.85;0.48932544;0.978362255
