name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;objective;eta_in_mean;eta_out_mean
caes_winter_2_sections;1;1;900;0.01;0.009074649126072061;0.11;2545330.03195;0.7140035701846047;0.67927515366524
caes_winter_3_sections;1;1;900;0.01;0.008235935626453656;0.16;2543390.9470125;0.7052124957644342;0.682040058880688
caes_winter_4_sections;1;1;900;0.01;0.007815309932891194;0.17;2542752.4942250005;0.7048044320683884;0.6648112827743854
caes_winter_5_sections;1;1;900;0.01;0.007316752963389867;0.14;2541483.8320596297;0.7041217548198118;0.6624760274679847
caes_winter_6_sections;1;1;900;0.01;0.006045731393948507;0.14;2538251.136079119;0.7177763227426666;0.6743433981244414
caes_sommer_2_sections;1;1;900;0.01;0.002312168237569333;0.34;2340179.6347216098;0.7400253333788152;0.774815754192346
caes_sommer_3_sections;1;1;900;0.01;0.0032345967127739806;0.38;2346422.7485091058;0.7304731350940156;0.7706996121692217
caes_sommer_4_sections;1;1;900;0.01;0.004638382780337043;0.28;2352964.8459240724;0.7283289841955609;0.7683282206479662
caes_sommer_5_sections;1;1;900;0.01;0.0038539242441950616;0.45;2350752.6121842014;0.728437771628579;0.7620312432977964
caes_sommer_6_sections;1;1;900;0.01;0.002058388679811229;0.48;2342749.1109496164;0.739512372595191;0.7774033597468117
caes_winter_max;1;1;900;0.01;0.007486784834189363;0.13;2541898.793537501;0.7061082710727095;0.6836770967474368
caes_winter_mean;1;1;900;0.01;0.007636406094932222;0.14;2544003.46295;0.701828713676753;0.6613781832937969
caes_winter_reg;1;1;900;0.01;0.007815309932891194;0.14;2542752.4942250005;0.7048044320683884;0.6648112827743854
caes_winter_losses_2_sections;0;0;900;0.01;;;;;
caes_winter_losses_3_sections;0;0;900;0.01;;;;;
caes_winter_losses_4_sections;0;0;900;0.01;;;;;
caes_sommer_max;1;1;900;0.01;0.003961009797584938;0.45;2351288.9670353807;0.7303279906622808;0.7688895877208191
caes_sommer_mean;1;1;900;0.01;0.0016099100462504314;0.5;2356481.2968135416;0.7254866274241983;0.770776782746048
caes_sommer_reg;1;1;900;0.01;0.004638382780337043;0.33;2352964.8459240724;0.7283289841955609;0.7683282206479662
caes_sommer_losses_2_sections;0;0;900;0.01;;;;;
caes_sommer_losses_3_sections;0;0;900;0.01;;;;;
caes_sommer_losses_4_sections;0;0;900;0.01;;;;;
