name;active;solve_timeout;mip_gap;start_date;timeseries_length;frequency;input_data;sf_dem_[-];sf_res_[-];P_MAX_IN_[MW];P_MAX_OUT_[MW];SOC_MIN_[MWh];SOC_MAX_[MWh];SOC_INI_[-];ETA_SOC_[-];ETA_IN_[-];ETA_OUT_[-]
caes_winter_max_max;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;1;0.758805;0.788859
caes_winter_mean_max;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;1;0.726141;0.734086
caes_winter_reg_max;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;1;0.729107;0.752892
caes_sommer_max_max;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;1;0.758805;0.788859
caes_sommer_mean_max;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;1;0.726141;0.734086
caes_sommer_reg_max;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;1;0.729107;0.752892
caes_winter_max_mean;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.994545;0.758805;0.788859
caes_winter_mean_mean;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.994545;0.726141;0.734086
caes_winter_reg_mean;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.994545;0.729107;0.752892
caes_sommer_max_mean;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.994545;0.758805;0.788859
caes_sommer_mean_mean;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.994545;0.726141;0.734086
caes_sommer_reg_mean;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.994545;0.729107;0.752892
caes_winter_max_reg;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.999963;0.758805;0.788859
caes_winter_mean_reg;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.999963;0.726141;0.734086
caes_winter_reg_reg;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.999963;0.729107;0.752892
caes_sommer_max_reg;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.999963;0.758805;0.788859
caes_sommer_mean_reg;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.999963;0.726141;0.734086
caes_sommer_reg_reg;1;900;0.01;18.01.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0;342.697;0;0.999963;0.729107;0.752892
