datetime;demand_[MW];ee_generation_[MW]
18.01.2021 00:00;50827.025;10350
18.01.2021 01:00;49772.325;10639.75
18.01.2021 02:00;49643.8;10538.5
18.01.2021 03:00;51136.625;10635.25
18.01.2021 04:00;54789.15;10984.5
18.01.2021 05:00;62082.775;12317.5
18.01.2021 06:00;69001.275;14017.5
18.01.2021 07:00;72343.025;15770.75
18.01.2021 08:00;73302.1;17273.75
18.01.2021 09:00;74121.7;18932
18.01.2021 10:00;75339.7;20926.75
18.01.2021 11:00;75673.75;23566.25
18.01.2021 12:00;74576.725;25696.25
18.01.2021 13:00;73620.675;26925.25
18.01.2021 14:00;73078.55;27824.5
18.01.2021 15:00;73612.75;28111.5
18.01.2021 16:00;75759.575;28682.25
18.01.2021 17:00;75489.6;29665.5
18.01.2021 18:00;73246.375;30724.25
18.01.2021 19:00;69460.1;31359
18.01.2021 20:00;65890.05;31510.5
18.01.2021 21:00;63189.925;31354.25
18.01.2021 22:00;59530.05;30619.75
18.01.2021 23:00;56597.225;30665.25
19.01.2021 00:00;54873.775;30566.5
19.01.2021 01:00;53984.225;30221.25
19.01.2021 02:00;54252;29997.5
19.01.2021 03:00;55834.475;30105.75
19.01.2021 04:00;58884.425;30798.75
19.01.2021 05:00;64854.65;31903.25
19.01.2021 06:00;71389.575;33449
19.01.2021 07:00;74651.7;34501.75
19.01.2021 08:00;75207.875;35046.5
19.01.2021 09:00;76427.5;35458
19.01.2021 10:00;77708.3;36599.5
19.01.2021 11:00;77804;36712.75
19.01.2021 12:00;76332.425;35793.75
19.01.2021 13:00;75069.875;33786
19.01.2021 14:00;74058.175;32258.5
19.01.2021 15:00;73308.7;31327
19.01.2021 16:00;75035.75;30844
19.01.2021 17:00;74641.8;31505.25
19.01.2021 18:00;72490.4;32526
19.01.2021 19:00;68932.45;34064.5
19.01.2021 20:00;66282.3;35647.25
19.01.2021 21:00;63911.625;37356.25
19.01.2021 22:00;60043.4;37451.5
19.01.2021 23:00;56960.325;38121.25
20.01.2021 00:00;55000.775;37732
20.01.2021 01:00;54367.5;37401.75
20.01.2021 02:00;54616.225;36887
20.01.2021 03:00;56069.575;36763.5
20.01.2021 04:00;59160.475;36777.5
20.01.2021 05:00;65350.95;37250.75
20.01.2021 06:00;71762.65;38224
20.01.2021 07:00;74170.55;37998.5
20.01.2021 08:00;74383.05;37783
20.01.2021 09:00;74950.7;39018.5
20.01.2021 10:00;75422.825;40669.25
20.01.2021 11:00;75913.5;42667.25
20.01.2021 12:00;74286.525;43014.75
20.01.2021 13:00;72691.8;41681.75
20.01.2021 14:00;71767.325;38798.5
20.01.2021 15:00;71339.675;36044.5
20.01.2021 16:00;74881.175;35011
20.01.2021 17:00;75102.675;36531.25
20.01.2021 18:00;73935.675;38160.5
20.01.2021 19:00;70016.175;38300.5
20.01.2021 20:00;66884.925;38832
20.01.2021 21:00;64163.8;38631.5
20.01.2021 22:00;60714.6;38233.5
20.01.2021 23:00;57676.3;38698.75
21.01.2021 00:00;55805.15;39524.5
21.01.2021 01:00;54929.75;40249.25
21.01.2021 02:00;55124.55;41377.25
21.01.2021 03:00;56633.975;42050.5
21.01.2021 04:00;59843.6;42366.5
21.01.2021 05:00;66404.275;44232.5
21.01.2021 06:00;72444.875;46000.25
21.01.2021 07:00;74921.275;45659.25
21.01.2021 08:00;74992.325;43453.5
21.01.2021 09:00;74655.65;44086
21.01.2021 10:00;75883.975;46868.75
21.01.2021 11:00;75583.95;47745
21.01.2021 12:00;73654.8;47174.75
21.01.2021 13:00;72154.55;45004.25
21.01.2021 14:00;71652.8;41477.25
21.01.2021 15:00;71596.375;37516.25
21.01.2021 16:00;75045.125;36444
21.01.2021 17:00;74805.225;36615
21.01.2021 18:00;72585.275;36006.75
21.01.2021 19:00;68989.75;36307.5
21.01.2021 20:00;65533.25;36200
21.01.2021 21:00;62785;36141.25
21.01.2021 22:00;59354.45;36431.75
21.01.2021 23:00;57161.925;38008.75
22.01.2021 00:00;55184.725;39697.25
22.01.2021 01:00;54344.85;39857.75
22.01.2021 02:00;54788.475;40626.75
22.01.2021 03:00;56602.65;40640.5
22.01.2021 04:00;59308.45;41299.75
22.01.2021 05:00;64814.325;40955
22.01.2021 06:00;70837.2;39430.75
22.01.2021 07:00;73234.3;36285.5
22.01.2021 08:00;72601.275;32707.75
22.01.2021 09:00;72528.125;31047.75
22.01.2021 10:00;73413.85;30878.25
22.01.2021 11:00;72517.35;30482.75
22.01.2021 12:00;70854.75;30254
22.01.2021 13:00;69028.725;29401.75
22.01.2021 14:00;68416.575;26580.75
22.01.2021 15:00;68389.175;22151.5
22.01.2021 16:00;71534.125;18930.5
22.01.2021 17:00;71805.5;17998.75
22.01.2021 18:00;69745.925;18654.5
22.01.2021 19:00;66004.85;19042.75
22.01.2021 20:00;62411.025;18915.5
22.01.2021 21:00;59886.45;18059.75
22.01.2021 22:00;56301.05;16962.5
22.01.2021 23:00;53174.375;15613
23.01.2021 00:00;51549.225;14427.5
23.01.2021 01:00;50018.35;13042.5
23.01.2021 02:00;49182.475;11239
23.01.2021 03:00;48897.725;10448
23.01.2021 04:00;49053.85;9941.75
23.01.2021 05:00;49694.475;10262.25
23.01.2021 06:00;52460.65;11345.25
23.01.2021 07:00;56098.4;12333
23.01.2021 08:00;59308.65;14062.75
23.01.2021 09:00;61173.425;15784
23.01.2021 10:00;62653.9;17593
23.01.2021 11:00;62441.475;18132
23.01.2021 12:00;60607.8;17862.5
23.01.2021 13:00;58800.35;15915.25
23.01.2021 14:00;57928.45;12899.75
23.01.2021 15:00;57999.25;9001.25
23.01.2021 16:00;61856.825;6572.5
23.01.2021 17:00;62988.15;6827.75
23.01.2021 18:00;60853.325;7842.25
23.01.2021 19:00;57114.575;7830.5
23.01.2021 20:00;54622.75;6962
23.01.2021 21:00;53411.825;5915.25
23.01.2021 22:00;50406.075;5360.5
23.01.2021 23:00;47568.375;5152.75
24.01.2021 00:00;45486.75;5238
24.01.2021 01:00;45098;6186.5
24.01.2021 02:00;45011.75;7064.25
24.01.2021 03:00;45037.95;7902.25
24.01.2021 04:00;45226.725;8315.75
24.01.2021 05:00;44826.975;9067
24.01.2021 06:00;46176.625;9914.25
24.01.2021 07:00;49015.375;10207.5
24.01.2021 08:00;52893.35;10486
24.01.2021 09:00;55698.375;11829.5
24.01.2021 10:00;58348.9;13100.25
24.01.2021 11:00;58662.25;13543.75
24.01.2021 12:00;56694;13174.25
24.01.2021 13:00;55112.25;12467.5
24.01.2021 14:00;54798.925;11060.25
24.01.2021 15:00;55353.8;8883.25
24.01.2021 16:00;59660.4;6842.75
24.01.2021 17:00;61215.1;6132.25
24.01.2021 18:00;59068.675;5977.75
24.01.2021 19:00;56270.225;5635
24.01.2021 20:00;54852.025;5554.25
24.01.2021 21:00;55039.775;5687
24.01.2021 22:00;53052.775;5621.75
24.01.2021 23:00;51009.05;5524.5
25.01.2021 00:00;49494.7;5297.75
25.01.2021 01:00;48919.85;4883.25
25.01.2021 02:00;48845.375;4306.75
25.01.2021 03:00;50378.55;3805.75
25.01.2021 04:00;53768.5;3833.25
25.01.2021 05:00;61048.225;3586.75
25.01.2021 06:00;68239.3;2834.5
25.01.2021 07:00;70863.675;2715.75
25.01.2021 08:00;71331.075;2805.75
25.01.2021 09:00;72049.775;3992.25
25.01.2021 10:00;73076.15;5363.75
25.01.2021 11:00;73132.625;6868.5
25.01.2021 12:00;71872.3;7926
25.01.2021 13:00;70694.975;8570.5
25.01.2021 14:00;70131.25;8245.75
25.01.2021 15:00;69513;7169.25
25.01.2021 16:00;72521.5;6829.75
25.01.2021 17:00;73234.825;8759.5
25.01.2021 18:00;71595.3;11054.5
25.01.2021 19:00;68196.6;12030.5
25.01.2021 20:00;65213.025;12515.5
25.01.2021 21:00;63114.95;12679.5
25.01.2021 22:00;59767.525;12266.5
25.01.2021 23:00;57811.425;12224.25
26.01.2021 00:00;55812.8;12360.25
26.01.2021 01:00;54343.475;13036.5
26.01.2021 02:00;54450.95;13547.75
26.01.2021 03:00;55852.325;14282
26.01.2021 04:00;58609.35;14960.5
26.01.2021 05:00;64192.425;15381.25
26.01.2021 06:00;70330.925;16084
26.01.2021 07:00;72942.175;15421.5
26.01.2021 08:00;73172.775;14360.5
26.01.2021 09:00;74096.475;14604
26.01.2021 10:00;75320.325;15636.75
26.01.2021 11:00;74998.025;17007.25
26.01.2021 12:00;73618.225;17493
26.01.2021 13:00;72096.675;16843.5
26.01.2021 14:00;71218.95;15637.5
26.01.2021 15:00;71046.3;14455.5
26.01.2021 16:00;73848.35;14249.25
26.01.2021 17:00;74797.825;15211
26.01.2021 18:00;72628.425;15824
26.01.2021 19:00;69434.025;15797.5
26.01.2021 20:00;66358.425;16223.75
26.01.2021 21:00;63904.725;16460
26.01.2021 22:00;59889.825;16388.75
26.01.2021 23:00;57406.675;15599.25
27.01.2021 00:00;55323.575;15143.75
27.01.2021 01:00;54359.4;15100.25
27.01.2021 02:00;54903.45;15858.5
27.01.2021 03:00;56121.7;16364.75
27.01.2021 04:00;58775.25;17100
27.01.2021 05:00;64711.825;16620
27.01.2021 06:00;71133.8;15777.5
27.01.2021 07:00;73745.35;15007
27.01.2021 08:00;74848.3;15389.75
27.01.2021 09:00;75031.175;16456
27.01.2021 10:00;76114.05;17372.75
27.01.2021 11:00;75943.725;17787
27.01.2021 12:00;74408.5;17501
27.01.2021 13:00;72877.7;15656
27.01.2021 14:00;71643.975;13350.75
27.01.2021 15:00;71092.2;11781.5
27.01.2021 16:00;73640.1;11229.5
27.01.2021 17:00;73757.875;11684.5
27.01.2021 18:00;72106.675;12523.25
27.01.2021 19:00;68409.025;13165.5
27.01.2021 20:00;64868.825;13390.5
27.01.2021 21:00;62958.05;14019
27.01.2021 22:00;59702.375;14606.25
27.01.2021 23:00;56698.775;14694.5
28.01.2021 00:00;54051.65;14838.5
28.01.2021 01:00;53061.2;14227.25
28.01.2021 02:00;53571.675;13396
28.01.2021 03:00;54886.925;12533.25
28.01.2021 04:00;57577.325;11972.5
28.01.2021 05:00;64538.6;11107.25
28.01.2021 06:00;69956.65;10202
28.01.2021 07:00;72556.275;9598.25
28.01.2021 08:00;73588.65;9618
28.01.2021 09:00;74778.85;11122
28.01.2021 10:00;75968.45;12610.25
28.01.2021 11:00;75940.65;13677.5
28.01.2021 12:00;74320.075;14057.25
28.01.2021 13:00;72667.2;14187.25
28.01.2021 14:00;71833.075;13806.5
28.01.2021 15:00;71226.35;12231.25
28.01.2021 16:00;73720.525;11221
28.01.2021 17:00;74124.2;11934.75
28.01.2021 18:00;71935.7;13212.75
28.01.2021 19:00;68059.875;13779.75
28.01.2021 20:00;64316;13121
28.01.2021 21:00;62103.025;11782
28.01.2021 22:00;58456.85;10974
28.01.2021 23:00;55529.95;12041.25
29.01.2021 00:00;53409.575;12920
29.01.2021 01:00;52239.55;13619.25
29.01.2021 02:00;52232.7;14459.25
29.01.2021 03:00;53817.375;16154
29.01.2021 04:00;56917.325;18055.75
29.01.2021 05:00;63103.425;20606
29.01.2021 06:00;68888.175;23295.25
29.01.2021 07:00;72172.425;25092.25
29.01.2021 08:00;72390.075;26750.5
29.01.2021 09:00;73222.725;28768.25
29.01.2021 10:00;74558.85;31015.5
29.01.2021 11:00;73989.75;32903
29.01.2021 12:00;72200.05;33825.5
29.01.2021 13:00;70422.925;33636
29.01.2021 14:00;69775.325;32095.25
29.01.2021 15:00;68774.875;29305.25
29.01.2021 16:00;71009.45;26693.75
29.01.2021 17:00;71208.575;24935
29.01.2021 18:00;69270.05;24743
29.01.2021 19:00;66010.55;24491.75
29.01.2021 20:00;62614.275;25077.75
29.01.2021 21:00;60508.825;25544.75
29.01.2021 22:00;56877.625;24024
29.01.2021 23:00;53838.575;22907.5
30.01.2021 00:00;52017.15;21561
30.01.2021 01:00;50761.975;20435.25
30.01.2021 02:00;49796.7;18765.5
30.01.2021 03:00;49838.75;17159.25
30.01.2021 04:00;49743.2;15298.5
30.01.2021 05:00;50030.9;13502.75
30.01.2021 06:00;52023.4;11687.75
30.01.2021 07:00;55261.275;10090
30.01.2021 08:00;58119.925;8756.75
30.01.2021 09:00;59926.75;8250.5
30.01.2021 10:00;61365.975;8406.5
30.01.2021 11:00;61337;8910
30.01.2021 12:00;59945.275;8622
30.01.2021 13:00;58342.3;7610.25
30.01.2021 14:00;57895.3;6822.75
30.01.2021 15:00;58293.6;5926.25
30.01.2021 16:00;62197.3;5391.75
30.01.2021 17:00;64093.05;5850.75
30.01.2021 18:00;62180.15;6168.75
30.01.2021 19:00;58368.6;6172.25
30.01.2021 20:00;56294.15;6574.25
30.01.2021 21:00;55444.025;7221.25
30.01.2021 22:00;53362.825;8021
30.01.2021 23:00;50808.15;8740.75
31.01.2021 00:00;49127.625;8687
31.01.2021 01:00;47996.625;8407.5
31.01.2021 02:00;47452.875;8487
31.01.2021 03:00;47226.225;8311
31.01.2021 04:00;46773.7;8296.25
31.01.2021 05:00;46724.95;8770.75
31.01.2021 06:00;48746.6;8803
31.01.2021 07:00;52057.7;9634.75
31.01.2021 08:00;55299.4;10208
31.01.2021 09:00;57680.225;11231.5
31.01.2021 10:00;59746.275;12367.5
31.01.2021 11:00;58867.975;13243.5
31.01.2021 12:00;56537.775;13445.75
31.01.2021 13:00;55023.15;12583.75
31.01.2021 14:00;54655.925;10450.5
31.01.2021 15:00;55687.05;7398.5
31.01.2021 16:00;59917.475;5188.75
31.01.2021 17:00;62105.475;6001.75
31.01.2021 18:00;60571.3;7886
31.01.2021 19:00;58116.6;9381.75
31.01.2021 20:00;56361.35;10462
31.01.2021 21:00;57087.125;11304.5
31.01.2021 22:00;54231.425;11869.75
31.01.2021 23:00;52135.15;12562.25
