datetime;demand_[MW];ee_generation_[MW]
2021-07-12 00:00:00;41525.85;6280.0
2021-07-12 01:00:00;41756.075;5944.25
2021-07-12 02:00:00;43023.075;5872.25
2021-07-12 03:00:00;45865.625;5551.75
2021-07-12 04:00:00;53348.274999999994;5400.25
2021-07-12 05:00:00;59411.9;5291.75
2021-07-12 06:00:00;63146.55;6591.75
2021-07-12 07:00:00;64549.45;9611.75
2021-07-12 08:00:00;66619.2;14551.0
2021-07-12 09:00:00;68391.925;21157.75
2021-07-12 10:00:00;68081.475;27160.25
2021-07-12 11:00:00;67581.05;30983.5
2021-07-12 12:00:00;66658.375;32668.5
2021-07-12 13:00:00;65578.575;33022.75
2021-07-12 14:00:00;64172.4;31044.0
2021-07-12 15:00:00;64108.05;28013.25
2021-07-12 16:00:00;63816.425;23892.5
2021-07-12 17:00:00;62765.9;18841.0
2021-07-12 18:00:00;60506.25;13570.0
2021-07-12 19:00:00;58347.149999999994;9148.5
2021-07-12 20:00:00;55885.425;6236.0
2021-07-12 21:00:00;52339.825;5357.75
2021-07-12 22:00:00;48572.1;5373.25
2021-07-12 23:00:00;46851.675;5336.0
2021-07-13 00:00:00;45947.725;4533.75
2021-07-13 01:00:00;46031.95;3894.25
2021-07-13 02:00:00;46743.15;3121.75
2021-07-13 03:00:00;49480.1;2474.75
2021-07-13 04:00:00;56337.225;2018.0
2021-07-13 05:00:00;61743.1;2504.0
2021-07-13 06:00:00;65337.8;4044.75
2021-07-13 07:00:00;66785.1;7131.75
2021-07-13 08:00:00;68183.525;10507.25
2021-07-13 09:00:00;69579.875;14599.75
2021-07-13 10:00:00;69347.85;18037.75
2021-07-13 11:00:00;68227.25;20434.0
2021-07-13 12:00:00;66908.325;21340.75
2021-07-13 13:00:00;66132.75;20704.75
2021-07-13 14:00:00;65526.8;19725.75
2021-07-13 15:00:00;64465.35;19187.0
2021-07-13 16:00:00;63581.7;16998.5
2021-07-13 17:00:00;62619.075;14746.25
2021-07-13 18:00:00;60046.525;11629.25
2021-07-13 19:00:00;57860.45;9081.0
2021-07-13 20:00:00;55159.75;7709.0
2021-07-13 21:00:00;51506.524999999994;7884.0
2021-07-13 22:00:00;48878.725;8262.5
2021-07-13 23:00:00;47154.9;8041.75
2021-07-14 00:00:00;46375.0;6935.0
2021-07-14 01:00:00;46233.05;6558.0
2021-07-14 02:00:00;46865.875;6124.75
2021-07-14 03:00:00;49589.1;5868.75
2021-07-14 04:00:00;56151.125;5856.0
2021-07-14 05:00:00;61329.299999999996;6326.25
2021-07-14 06:00:00;64693.625;7011.5
2021-07-14 07:00:00;66147.175;8424.75
2021-07-14 08:00:00;67250.25;10253.75
2021-07-14 09:00:00;68808.57500000001;11754.5
2021-07-14 10:00:00;68877.55;13803.75
2021-07-14 11:00:00;69159.775;16930.5
2021-07-14 12:00:00;67449.875;20299.75
2021-07-14 13:00:00;66062.675;24231.5
2021-07-14 14:00:00;64394.55;27362.25
2021-07-14 15:00:00;64641.8;27413.75
2021-07-14 16:00:00;64231.399999999994;25676.25
2021-07-14 17:00:00;62357.350000000006;23322.75
2021-07-14 18:00:00;59572.35;18540.0
2021-07-14 19:00:00;57202.35;14533.25
2021-07-14 20:00:00;54446.325;11735.0
2021-07-14 21:00:00;50627.825;9617.0
2021-07-14 22:00:00;47467.600000000006;8729.0
2021-07-14 23:00:00;45530.125;8461.0
2021-07-15 00:00:00;44626.0;8142.0
2021-07-15 01:00:00;44553.55;7380.75
2021-07-15 02:00:00;45425.95;7123.0
2021-07-15 03:00:00;48606.5;7018.0
2021-07-15 04:00:00;55000.85;7273.75
2021-07-15 05:00:00;60169.0;7571.5
2021-07-15 06:00:00;63406.8;8668.25
2021-07-15 07:00:00;64837.525;11041.25
2021-07-15 08:00:00;65859.475;14849.5
2021-07-15 09:00:00;67786.1;19362.5
2021-07-15 10:00:00;67291.65;23480.0
2021-07-15 11:00:00;65863.97499999999;26135.5
2021-07-15 12:00:00;64360.4;26784.75
2021-07-15 13:00:00;63700.625;27072.75
2021-07-15 14:00:00;62612.5;27111.5
2021-07-15 15:00:00;62695.55;26343.0
2021-07-15 16:00:00;63292.65;23990.0
2021-07-15 17:00:00;61639.475;20646.75
2021-07-15 18:00:00;59364.2;16862.25
2021-07-15 19:00:00;57095.725;13094.0
2021-07-15 20:00:00;54653.825;10690.75
2021-07-15 21:00:00;50880.2;9686.0
2021-07-15 22:00:00;48102.1;9259.75
2021-07-15 23:00:00;46091.8;9092.0
2021-07-16 00:00:00;44829.375;8639.25
2021-07-16 01:00:00;44876.35;8050.25
2021-07-16 02:00:00;45897.325;7452.5
2021-07-16 03:00:00;48846.35;7234.75
2021-07-16 04:00:00;54649.95;7167.25
2021-07-16 05:00:00;59919.2;7390.25
2021-07-16 06:00:00;63220.175;8212.5
2021-07-16 07:00:00;64730.075;10819.5
2021-07-16 08:00:00;65995.525;14352.75
2021-07-16 09:00:00;67175.32500000001;18576.0
2021-07-16 10:00:00;66761.225;22485.75
2021-07-16 11:00:00;65425.85;25614.5
2021-07-16 12:00:00;63660.85;27899.25
2021-07-16 13:00:00;62482.575;29721.75
2021-07-16 14:00:00;61529.65;30028.25
2021-07-16 15:00:00;62256.675;28508.25
2021-07-16 16:00:00;61803.475;26453.75
2021-07-16 17:00:00;59989.075;23450.75
2021-07-16 18:00:00;57126.575;19090.0
2021-07-16 19:00:00;54566.775;14577.5
2021-07-16 20:00:00;52577.825;11822.75
2021-07-16 21:00:00;49279.675;11065.0
2021-07-16 22:00:00;45659.925;11340.25
2021-07-16 23:00:00;43327.575;11719.25
2021-07-17 00:00:00;41967.675;11572.5
2021-07-17 01:00:00;41543.65;11872.75
2021-07-17 02:00:00;41486.35;11539.25
2021-07-17 03:00:00;41733.1;11713.5
2021-07-17 04:00:00;43222.325;11960.0
2021-07-17 05:00:00;46419.025;11957.5
2021-07-17 06:00:00;50404.8;11968.5
2021-07-17 07:00:00;53295.9;12958.75
2021-07-17 08:00:00;55163.775;15207.25
2021-07-17 09:00:00;56313.675;17637.5
2021-07-17 10:00:00;55700.7;21697.25
2021-07-17 11:00:00;54524.5;25778.5
2021-07-17 12:00:00;53306.8;29428.0
2021-07-17 13:00:00;52941.325;32701.5
2021-07-17 14:00:00;52592.675;34343.0
2021-07-17 15:00:00;52937.9;34349.0
2021-07-17 16:00:00;53125.45;33107.75
2021-07-17 17:00:00;52037.075;30226.0
2021-07-17 18:00:00;50031.225;25461.5
2021-07-17 19:00:00;48492.95;19585.75
2021-07-17 20:00:00;47417.225;14607.25
2021-07-17 21:00:00;44991.75;14052.5
2021-07-17 22:00:00;42653.174999999996;15111.25
2021-07-17 23:00:00;40526.9;16179.5
2021-07-18 00:00:00;39504.9;15866.25
2021-07-18 01:00:00;39193.525;14895.75
2021-07-18 02:00:00;39193.65;13423.0
2021-07-18 03:00:00;38598.975;12651.25
2021-07-18 04:00:00;38887.65;12078.25
2021-07-18 05:00:00;41182.875;11389.5
2021-07-18 06:00:00;44745.3;11178.25
2021-07-18 07:00:00;47379.675;12853.0
2021-07-18 08:00:00;49605.275;17519.5
2021-07-18 09:00:00;51481.775;23296.75
2021-07-18 10:00:00;51144.15;28917.25
2021-07-18 11:00:00;49556.25;34027.0
2021-07-18 12:00:00;48175.45;37661.25
2021-07-18 13:00:00;47652.425;39000.75
2021-07-18 14:00:00;48026.2;38644.0
2021-07-18 15:00:00;49423.975;37661.75
2021-07-18 16:00:00;50021.125;35506.5
2021-07-18 17:00:00;49928.175;32735.75
2021-07-18 18:00:00;49420.9;26912.25
2021-07-18 19:00:00;48905.7;20070.75
2021-07-18 20:00:00;48789.725;15281.75
2021-07-18 21:00:00;46162.775;13240.0
2021-07-18 22:00:00;44103.725;12731.25
2021-07-18 23:00:00;42325.925;12277.5
2021-07-19 00:00:00;41761.5;11785.5
2021-07-19 01:00:00;41799.675;11016.5
2021-07-19 02:00:00;42878.375;10597.25
