datetime;(('bus_gen', 'storage'), 'flow');P_in;P_out;soc;(('storage', 'bus_dem'), 'flow')
2021-01-18 00:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 01:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 02:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 03:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 04:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 05:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 06:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 07:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 08:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 09:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 10:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 11:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 12:00:00;31.64218262499992;31.64218262499992;0.0;31.469574518780544;0.0
2021-01-18 13:00:00;52.72;52.72;0.0;75.53378648019353;0.0
2021-01-18 14:00:00;52.72;52.72;0.0;107.88070758209935;0.0
2021-01-18 15:00:00;52.72;52.72;0.0;131.626129506113;0.0
2021-01-18 16:00:00;52.72;52.72;0.0;149.05731130462445;0.0
2021-01-18 17:00:00;52.72;52.72;0.0;161.85329782636654;0.0
2021-01-18 18:00:00;52.72;52.72;0.0;171.2466523881661;0.0
2021-01-18 19:00:00;52.72;52.72;0.0;178.1421824650193;0.0
2021-01-18 20:00:00;52.72;52.72;0.0;183.20409455701616;0.0
2021-01-18 21:00:00;52.72;52.72;0.0;186.91997335698179;0.0
2021-01-18 22:00:00;52.72;52.72;0.0;189.64774796173333;0.0
2021-01-18 23:00:00;52.72;52.72;0.0;191.650169110237;0.0
2021-01-19 00:00:00;52.72;52.72;0.0;193.12011844145744;0.0
2021-01-19 01:00:00;52.72;52.72;0.0;194.19918766621572;0.0
2021-01-19 02:00:00;52.72;52.72;0.0;194.99131727714163;0.0
2021-01-19 03:00:00;52.72;52.72;0.0;195.5728085347078;0.0
2021-01-19 04:00:00;52.72;52.72;0.0;195.99967312600953;0.0
2021-01-19 05:00:00;52.72;52.72;0.0;196.31302844637983;0.0
2021-01-19 06:00:00;52.72;52.72;0.0;196.5430582000892;0.0
2021-01-19 07:00:00;52.72;52.72;0.0;196.71191982187068;0.0
2021-01-19 08:00:00;52.72;52.72;0.0;196.83587877435778;0.0
2021-01-19 09:00:00;52.72;52.72;0.0;196.92687530595322;0.0
2021-01-19 10:00:00;52.72;52.72;0.0;196.99367458584598;0.0
2021-01-19 11:00:00;52.72;52.72;0.0;197.04271100202533;0.0
2021-01-19 12:00:00;52.72;52.72;0.0;197.07870794863277;0.0
2021-01-19 13:00:00;52.72;52.72;0.0;197.10513280318006;0.0
2021-01-19 14:00:00;52.72;52.72;0.0;197.12453091895523;0.0
2021-01-19 15:00:00;52.72;52.72;0.0;197.13877080417217;0.0
2021-01-19 16:00:00;52.72;52.72;0.0;197.14922410455154;0.0
2021-01-19 17:00:00;52.72;52.72;0.0;197.15689772601382;0.0
