datetime;(('bus_gen', 'storage'), 'flow');P_in;P_out;soc;(('storage', 'bus_dem'), 'flow')
2021-01-18 00:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 01:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 02:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 03:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 04:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 05:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 06:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 07:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 08:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 09:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 10:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 11:00:00;0.0;0.0;0.0;0.0;0.0
2021-01-18 12:00:00;31.64218262499992;31.64218262499992;0.0;31.469574518780544;0.0
2021-01-18 13:00:00;52.72;52.72;0.0;76.12560329859372;0.0
2021-01-18 14:00:00;52.72;52.72;0.0;109.74677011868482;0.0
2021-01-18 15:00:00;52.72;52.72;0.0;135.05987764819685;0.0
2021-01-18 16:00:00;52.72;52.72;0.0;154.11791380230622;0.0
2021-01-18 17:00:00;52.72;52.72;0.0;168.46655675844593;0.0
2021-01-18 18:00:00;52.72;52.72;0.0;179.26953525097989;0.0
2021-01-18 19:00:00;52.72;52.72;0.0;187.40301133418075;0.0
2021-01-18 20:00:00;52.72;52.72;0.0;193.52664040941403;0.0
2021-01-18 21:00:00;52.72;52.72;0.0;198.13707175112455;0.0
2021-01-18 22:00:00;52.72;52.72;0.0;201.60822862484767;0.0
2021-01-18 23:00:00;52.72;52.72;0.0;204.22163486581883;0.0
2021-01-19 00:00:00;52.72;52.72;0.0;206.18924751739607;0.0
2021-01-19 01:00:00;52.72;52.72;0.0;207.67064734186738;0.0
2021-01-19 02:00:00;52.72;52.72;0.0;208.78598141851322;0.0
2021-01-19 03:00:00;52.72;52.72;0.0;209.62570752214725;0.0
2021-01-19 04:00:00;52.72;52.72;0.0;210.2579305877645;0.0
2021-01-19 05:00:00;52.72;52.72;0.0;210.7339262760832;0.0
2021-01-19 06:00:00;52.72;52.72;0.0;211.09229962185285;0.0
2021-01-19 07:00:00;52.72;52.72;0.0;211.36211604689603;0.0
2021-01-19 08:00:00;52.72;52.72;0.0;211.56525867477964;0.0
2021-01-19 09:00:00;52.72;52.72;0.0;211.7182031341722;0.0
2021-01-19 10:00:00;52.72;52.72;0.0;211.83335379409317;0.0
2021-01-19 11:00:00;52.72;52.72;0.0;211.9200498047424;0.0
2021-01-19 12:00:00;52.72;52.72;0.0;211.9853225375921;0.0
2021-01-19 13:00:00;52.72;52.72;0.0;212.0344658559728;0.0
2021-01-19 14:00:00;52.72;52.72;0.0;212.07146546723507;0.0
2021-01-19 15:00:00;52.72;52.72;0.0;212.09932217855754;0.0
2021-01-19 16:00:00;52.72;52.72;0.0;212.12029527365854;0.0
2021-01-19 17:00:00;52.72;52.72;0.0;212.13608574917532;0.0
