name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;objective;eta_in_mean;eta_out_mean
caes_winter_max_max;1;1;900;0.01;3.64E-16;0.02;2559022.838;0.758805;0.788859
caes_winter_mean_max;1;1;900;0.01;1.82E-16;0.02;2564384.918;0.726141;0.734086
caes_winter_reg_max;1;1;900;0.01;0;0.02;2562949.345;0.729107;0.752892
caes_sommer_max_max;1;1;900;0.01;7.45E-16;0.02;2500803.2;0.758805;0.788859
caes_sommer_mean_max;1;1;900;0.01;7.37E-16;0.02;2526893.281;0.726141;0.734086
caes_sommer_reg_max;1;1;900;0.01;3.70E-16;0.02;2519805.889;0.729107;0.752892
caes_winter_max_mean;1;1;900;0.01;1.82E-16;0.01;2559097.69;0.758805;0.788859
caes_winter_mean_mean;1;1;900;0.01;5.45E-16;0.01;2564433.898;0.726141;0.734086
caes_winter_reg_mean;1;1;900;0.01;1.82E-16;0.02;2563007.4;0.729107;0.752892
caes_sommer_max_mean;1;1;900;0.01;3.72E-16;0.02;2501235.803;0.758805;0.788859
caes_sommer_mean_mean;1;1;900;0.01;1.84E-16;0.01;2527210.934;0.726141;0.734086
caes_sommer_reg_mean;1;1;900;0.01;7.39E-16;0.02;2520164.402;0.729107;0.752892
caes_winter_max_reg;1;1;900;0.01;1.82E-16;0;2559023.345;0.758805;0.788859
caes_winter_mean_reg;1;1;900;0.01;3.63E-16;0.02;2564385.25;0.726141;0.734086
caes_winter_reg_reg;1;1;900;0.01;1.82E-16;0.02;2562949.739;0.729107;0.752892
caes_sommer_max_reg;1;1;900;0.01;0;0.02;2500806.134;0.758805;0.788859
caes_sommer_mean_reg;1;1;900;0.01;1.84E-16;0.02;2526895.435;0.726141;0.734086
caes_sommer_reg_reg;1;1;900;0.01;3.70E-16;0.01;2519808.32;0.729107;0.752892
