name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;objective;eta_in_mean;eta_out_mean
caes_winter_2_segments_reg;0;0;900;0.01;;;;;
caes_winter_3_segments_reg;0;0;900;0.01;;;;;
caes_winter_4_segements_reg;0;0;900;0.01;;;;;
caes_winter_5_segments_reg;0;0;900;0.01;;;;;
caes_winter_6_segments_reg;0;0;900;0.01;;;;;
caes_sommer_2_segments_reg;0;0;900;0.01;;;;;
caes_sommer_3_segments_reg;0;0;900;0.01;;;;;
caes_sommer_4_segments_reg;0;0;900;0.01;;;;;
caes_sommer_5_segments_reg;0;0;900;0.01;;;;;
caes_sommer_6_segments_reg;0;0;900;0.01;;;;;
caes_winter_4_segments_max;0;0;900;0.01;;;;;
caes_winter_4_segments_mean;0;0;900;0.01;;;;;
caes_winter_4_segments_reg;0;0;900;0.01;;;;;
caes_winter_4_segments_2_segments;1;1;900;0.01;0.000506249;0.44;2524155.767;0.725473421;0.763238371
caes_winter_4_segments_3_segments;1;1;900;0.01;0.000360904;2.03;2523789.755;0.729189272;0.768436773
caes_winter_4_segments_4_segments;1;1;900;0.01;9.49E-05;3.78;2523117.348;0.727524191;0.784034297
caes_sommer_4_segments_max;0;0;900;0.01;;;;;
caes_sommer_4_segments_mean;0;0;900;0.01;;;;;
caes_sommer_4_segments_reg;0;0;900;0.01;;;;;
caes_sommer_4_segments_2_segments;1;1;900;0.01;0.001914836;3.72;2346659.54;0.725621466;0.76737043
caes_sommer_4_segments_3_segments;1;1;900;0.01;0.00418139;819.2;2352661.892;0.724760441;0.77394421
caes_sommer_4_segments_4_segments;1;1;900;0.01;0.002106844;65.59;2347350.239;0.724052313;0.770645536
