datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');(('storage', '1'), 'delta');(('storage', '1'), 'delta_out');(('storage', '2'), 'delta');(('storage', '2'), 'delta_out');(('storage', '3'), 'delta');(('storage', '3'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-07 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 10:00:00;86.68211437499997;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;86.68211437499997;71.25289556362722;0.0;0.0;1.0;0.0;71.25289556362722;0.0;0.8220022789866015;
2021-12-07 11:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;161.2945955636421;0.0;0.8496624156038943;
2021-12-07 12:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;251.336295563657;0.0;0.8496624156038943;
2021-12-07 13:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;341.3779955636719;0.0;0.8496624156038943;
2021-12-07 14:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;431.4196955636868;0.0;0.8496624156038943;
2021-12-07 15:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;521.4613955637017;0.0;0.8496624156038943;
