name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;run_time;objective;eta_in_mean;eta_out_mean
phs_winter_2_segments_without;1;1;900;0.01;0.0008;0.05;3.827447653;2473934.347;0.716;0.759301443
phs_winter_3_segments_without;1;1;900;0.01;0.009;0.94;2.668028593;2282651.607;0.794575468;0.84793957
phs_winter_4_segments_without;1;1;900;0.01;0.0096;1.7;3.683995962;2261652.399;0.804661339;0.885882514
phs_winter_5_segments_without;1;1;900;0.01;0.0099;2.7;5.227000237;2259917.858;0.825814926;0.887480772
phs_winter_6_segments_without;1;1;900;0.01;0.0087;17.7;20.5669992;2260749.916;0.819724495;0.885830215
phs_winter_7_segments_without;1;1;900;0.01;0.0096;24.39;27.32400179;2259896.946;0.77659092;0.887687576
phs_winter_8_segments_without;1;1;900;0.01;0.0097;20.5;24.01403356;2259871.871;0.752553811;inf
phs_winter_9_segments_without;1;1;900;0.01;0.0098;25.45;29.27896714;2248951.491;0.794241315;0.88613742
phs_winter_10_segments_without;1;1;900;0.01;0.01;6.52;11.07100248;2251591.865;0.814197369;0.878437392
phs_sommer_2_segments_without;1;1;900;0.01;0.001;0.06;1.175031424;2515482.366;0.716;0.759301443
phs_sommer_3_segments_without;1;1;900;0.01;0.0021;1.98;3.815968513;1866359.093;0.80219678;0.830831982
phs_sommer_4_segments_without;1;1;900;0.01;0.0092;2.25;4.151080132;1947323.166;0.808690607;0.837071179
phs_sommer_5_segments_without;1;1;900;0.01;0.0085;13.13;14.52666068;1906507.867;0.826026377;0.865481187
phs_sommer_6_segments_without;1;1;900;0.01;0.0086;25.2;26.44683647;1905856.405;0.820693719;0.866383011
phs_sommer_7_segments_without;1;1;900;0.01;0.01;50.08;49.81388402;1906816.95;0.826021136;0.863448796
phs_sommer_8_segments_without;1;1;900;0.01;0.01;436.59;428.3316338;1903197.16;0.825393871;0.867312427
phs_sommer_9_segments_without;1;1;900;0.01;0.01;379.92;383.2791672;1803973.973;0.814635068;0.849830793
phs_sommer_10_segments_without;1;1;900;0.01;0.0138;900.16;903.5527334;1806083.745;0.815322259;0.838135168
