name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;run_time;objective;eta_in_mean;eta_out_mean
phs_winter_2_segments_without;1;1;900;0.01;0.0028;0.25;7.960484743;2255817.542;0.806388946;0.858435204
phs_winter_3_segments_without;1;1;900;0.01;0.0075;0.25;1.842244864;2261058.985;0.811137647;0.858220152
phs_winter_4_segments_without;1;1;900;0.01;0.004;0.22;1.904767275;2251272.198;0.806962805;0.877629578
phs_winter_5_segments_without;1;1;900;0.01;0.0099;0.14;1.720996141;2263133.916;0.814181504;0.870824124
phs_winter_6_segments_without;1;1;900;0.01;0.009;0.31;2.134302855;2261059.507;0.801702603;0.847333092
phs_winter_7_segments_without;1;1;900;0.01;0.0065;0.41;2.240561008;2254782.702;0.814273353;0.875341029
phs_winter_8_segments_without;1;1;900;0.01;0.0077;0.34;1.965646744;2257496.517;0.821806952;0.857537927
phs_winter_9_segments_without;1;1;900;0.01;0.0055;0.36;2.271974802;2252666.112;0.817931149;0.881480444
phs_winter_10_segments_without;1;1;900;0.01;0.0073;0.5;2.453887939;2258556.219;0.810631595;0.826631587
phs_sommer_2_segments_without;1;1;900;0.01;0.0099;2.83;4.495848417;1816374.934;0.802071449;0.827476378
phs_sommer_3_segments_without;1;1;900;0.01;0.0109;901.86;908.8097069;1810478.056;0.809120188;0.832257262
phs_sommer_4_segments_without;1;1;900;0.01;0.0085;11.53;18.39851451;1798975.021;0.80606928;0.843873838
phs_sommer_5_segments_without;1;1;900;0.01;0.01;15.06;16.86382508;1795946.666;0.813324431;0.844350111
phs_sommer_6_segments_without;1;1;900;0.01;0.01;9.55;11.09791374;1798284.674;0.812375609;0.843682883
phs_sommer_7_segments_without;1;1;900;0.01;0.01;14.02;15.81026793;1797628.849;0.814710615;0.843220135
phs_sommer_8_segments_without;1;1;900;0.01;0.01;12.36;14.25957656;1797684.498;0.818652714;0.842856381
phs_sommer_9_segments_without;1;1;900;0.01;0.0099;7.26;9.240193844;1797199.889;0.817622252;0.846514948
phs_sommer_10_segments_without;1;1;900;0.01;0.01;24.49;26.1240983;1799920.282;0.815569263;0.837249339
